position_id,work_title,category,subcategory,position_statement,key_concepts
"1","Some readers of this work may further have an impression that they","psychoanalytic_theory","id","other case the creation of a unified group out of many individuals - wecannot  be  surprised  at  the  similarity  between  the  means  employed","id"
"2","The analogy between the process of civilization and the path of","psychoanalytic_theory","id","despatched in a cruel fashion. In the same way, indeed, the primalfather did not attain divinity until long after he had met his death by","id"
"3","The  cultural  super-ego  has  developed  its  ideals  and  set  up  its","psychoanalytic_theory","id, civilization","As we already know, the problem before us is how to get rid of thegreatest hindrance to civilization - namely, the constitutional inclination","id;civilization"
"4","I believe the line of thought which seeks to trace in the phenomena","general_theory","","spite of all these difficulties, we may expect that one day someone willventure to embark upon a pathology of cultural communities.",""
"5","For obvious reasons the details of these cases must be withheld","metapsychology","mental processes","Laforgue  would  not  say  anything  of  the  sort.  It  is  clear  from  his  own  remarks  that ‘scotomization’ is a term which derives from descriptions of dementia praecox, which does not arise fr","mental processes"
"6","An investigation of fetishism is strongly recommended to any one","psychopathology","neurosis","interest as well. Recently, along quite speculative lines, I arrived at theproposition  that  the  essential  difference  between  neurosis  and","neurosis"
"7","An investigation of fetishism is strongly recommended to any one","general_theory","","his activities; the other, opposite one, that he was entitled to regardhimself as his father’s successor. I may thus keep to the expectation",""
"8","The expenditure on feeling that is economized turns into humorous","general_theory","","problem is to be sought in the humorist; in the hearer we must assumethat there is only an echo, a copy, of this unknown process.",""
"9","If we turn to the situation in which one person adopts a humorous","general_theory","","parents, or the father, once treated the child, in its early years. Weobtain a dynamic explanation of the humorous attitude, therefore, if we",""
"10","As regards the origin of jokes I was led to assume that a preconscious","psychoanalytic_theory","id, ego, super-ego","words of comfort to the intimidated ego, this will teach us that we havestill  a  great  deal  to  learn  about  the  nature  of  the  super-ego.","id;ego;super-ego"
"11","A Religious Experience","civilization_culture","religion","father does to his mother in sexual intercourse as ill-treatment. Thenew impulse, which was displaced into the sphere of religion, was only","religion"
"12","Four  facets  may  be  distinguished  in  the  rich  personality  of","civilization_culture","morality","Terrible  behaved  in  exactly  this  way;  indeed  this  compromise  withmorality is a characteristic Russian trait. Nor was the final outcome of","morality"
